Zip,Airport
36703,KMGM
24726,KI16
24724,KBLF
12748,KMSV
12746,KFWN
12747,KMSV
12740,KMSV
12741,KMSV
12742,KMSV
12743,N/A
71008,KRSN
97638,KBDN
97637,KLKV
71009,N/A
71006,KDTN
73669,KOJA
71007,KSHV
73668,KCSM
97639,KLMT
46048,KMQJ
71004,KDTN
73667,KJWG
97634,KLMT
46049,KTYQ
73666,KHHF
97633,KLMT
71002,KIER
97636,KLKV
71003,KMNE
73664,KCSM
97635,KLKV
58033,KGWR
73663,KJWG
97630,KLKV
58032,KGWR
71001,KRSN
73662,KCSM
22079,KDAA
58035,KS32
73661,KHBR
97632,KLMT
73660,KHHF
58031,KBAC
58030,KBWP
85658,KRYN
58036,KFAR
58038,KFAR
46044,KAID
85653,KRYN
46040,KMQJ
46041,KTYQ
71019,KIER
97627,KLMT
97626,KLMT
46039,KOKK
71018,KMNE
46037,KMQJ
97623,KLMT
46038,KMQJ
71016,KMNE
97622,KLKV
46035,KLAF
97625,KLMT
46036,KMZZ
97624,KLMT
58043,KGWR
73673,KAXS
58046,KS32
97621,KLMT
58045,KFAR
97620,KLKV
58040,KGWR
58042,KFAR
58041,KP67
85648,KOLS
58048,KFAR
85645,KOLS
58047,KFAR
85646,KOLS
85643,KSAD
58049,KBAC
46033,KTYQ
85641,KDMA
46034,KTYQ
46031,KTYQ
46032,KTYQ
85640,KOLS
46030,KTYQ
71028,KMNE
71029,KDTN
71027,KSHV
10075,KNYC
71024,KMNE
58054,KGWR
71023,KMNE
58057,KGWR
58056,KS32
58051,KFAR
58053,KP67
58052,KFAR
58059,KFAR
83014,KJAC
83011,KJAC
83013,KJAC
83012,KJAC
46017,KAID
58060,KGWR
71039,KMNE
71037,KBAD
36693,KBFM
46016,KAID
71038,KMNE
46013,KAID
36695,KMOB
22066,KIAD
71033,KSHV
97641,KBDN
22067,KIAD
71034,KBAD
97640,KLKV
58065,N/A
58068,KGWR
71031,KIER
58067,KGWR
71032,KSHV
58062,KBAC
58061,KBWP
71030,KSHV
58064,KBAC
58063,KBAC
22060,KDAA
58069,KGWR
46011,KAID
46012,KAID
83001,KJAC
95019,KWVI
58071,KBAC
71048,KRSN
71049,KSHV
71046,KSHV
95017,KWVI
71047,KSHV
95018,KWVI
22033,KIAD
58077,KJKJ
71044,KTXK
71045,KMNE
95012,KSNS
58079,KFAR
95013,KRHV
22035,N/A
58078,KFAR
71043,KDTN
95014,KNUQ
71040,KMNE
58072,KBAC
22039,KDAA
58075,KBWP
95010,KWVI
22030,KIAD
22031,KDAA
22032,KDAA
46001,KAID
48662,KAMN
48661,KHTL
36688,KMOB
95008,KSJC
48659,KIKW
48658,KIKW
48657,KIKW
58081,KP67
48656,KHTL
95004,KWVI
48655,KMBS
95005,KWVI
48654,KHTL
95006,KSJC
48653,KHTL
95007,N/A
22044,KDCA
71055,KMNE
22046,KDCA
95002,KNUQ
95003,KWVI
71051,KBAD
71052,KSHV
22041,KDCA
22042,KDCA
22043,KDCA
48652,KIKW
10065,KNYC
48651,KHTL
48650,KIKW
10069,KNYC
48649,KRNP
48647,KGOV
95037,KE16
10031,KNYC
71068,KMNE
95039,KWVI
10030,KNYC
48642,KIKW
71069,KDTN
95033,KSJC
71067,KBAD
71064,KDTN
95035,KSJC
71065,KIER
22015,KDAA
71063,KIER
95030,KSJC
71060,KDTN
71061,KDTN
95032,KSJC
10033,KNYC
10032,KNYC
48640,KIKW
10035,KNYC
10034,KLGA
10037,KNYC
10036,KNYC
10039,KNYC
10038,KJRB
48638,KHYX
48637,KMBS
48636,KGOV
48635,KHTL
10040,KLGA
48634,KMBS
48632,KMOP
71079,KELD
48631,KMBS
71078,KSHV
95023,KCVH
71075,KMNE
22025,KNYG
22026,KNYG
71073,KMNE
22027,KDCA
71071,KMNE
95020,KE16
71072,KMNE
71070,KIER
10044,KNYC
48630,KHTL
10045,KJRB
61602,KPIA
61603,KPIA
61604,KPIA
61610,KPIA
61611,KPIA
61614,KPIA
61615,KPIA
61605,KPIA
61606,KPIA
61607,KPIA
73601,KCLK
61616,KPIA
61635,KPIA
73627,KCSM
73626,KCSM
73625,KCLK
73620,KCLK
85609,KFHU
85607,KDUG
85616,KFHU
85614,KTUS
85615,KFHU
85610,KDUG
85611,KALK
73638,KGAG
73632,KCSM
58002,N/A
58008,KP67
85605,KSAD
46070,KMZZ
58007,KBAC
85606,KFHU
85603,KDUG
58009,KFAR
58004,KFAR
85602,KALK
58006,KFAR
58005,KFAR
46077,KTYQ
46075,KTYQ
46076,KOKK
46074,KTYQ
46071,KTYQ
46072,KOKK
73628,KCSM
73647,KCSM
73646,KJWG
73645,KCSM
73644,KCSM
46068,KOKK
46069,KTYQ
73642,KHHF
58011,KBAC
73641,KCSM
58013,N/A
58012,KFAR
85629,KTUS
85638,KFHU
58018,KBWP
85637,KALK
58015,KJKJ
85634,KRYN
85635,KFHU
58017,KGWR
85632,KSAD
85631,KDMA
46064,KAID
46065,KLAF
46062,KTYQ
46060,KTYQ
73639,KCLK
73659,KCLK
73658,KJWG
97601,KLMT
73655,KHBR
46057,KOKK
73654,KCLK
97603,KLMT
46058,KLAF
73651,KHBR
73650,KCSM
85618,KDMA
85619,KDMA
58029,N/A
85623,KDMA
85624,KOLS
85621,KOLS
58027,KGWR
46055,KMQJ
46056,KAID
85620,N/A
46051,KAID
46052,KTYQ
46050,KTYQ
24815,N/A
24818,KI16
12836,K6B0
12837,KRUT
36804,KAUO
12834,KGFL
12835,KGFL
12838,KGFL
12839,KGFL
12832,KRUT
12833,KGFL
36801,KAUO
12831,KGFL
24827,KI16
24828,KI16
24822,N/A
12847,KSLK
12845,KGFL
12846,KGFL
12849,KGFL
12843,KGFL
12844,N/A
12842,KSLK
12809,KGFL
12814,KGFL
12815,KGFL
12812,KSLK
12819,KGFL
12816,KDDH
12817,KGFL
12810,N/A
12811,N/A
24801,KI16
12823,N/A
12824,KGFL
12827,KGFL
12828,KGFL
12821,KGFL
12822,KGFL
61801,KCMI
61802,KCMI
61810,KCMI
61811,KDNV
61812,KTIP
61813,KDEC
12803,KGFL
12804,KGFL
12801,KGFL
73801,KWWR
61820,KCMI
61821,KCMI
61822,KCMI
61814,KDNV
61815,KCMI
61816,KCMI
61818,KDEC
61830,KDEC
61832,KDNV
61833,KDNV
61834,KDNV
46204,KIND
48867,KRNP
46205,KEYE
48866,KRNP
46202,KEYE
48865,KY70
46203,KIND
48864,KTEW
46201,KEYE
48862,KAMN
46208,KEYE
34228,KSRQ
34224,KVNC
34223,KVNC
24892,KJFZ
34222,KSRQ
34221,KSRQ
48861,KFPK
48860,KY70
34229,KVNC
48858,KMOP
48857,KRNP
48856,KAMN
48855,KOZW
48854,KTEW
48853,KAMN
36870,KCSG
36871,KLSF
48851,KY70
48859,N/A
34217,KSRQ
34216,KSRQ
